set_id,set_name,printed_total,last_updated,last_checked,cards_downloaded,set_complete
pop6,POP Series 6,17,2020/05/01 16:06:00,2025-10-12 20:49:21,17,False
dp3,Secret Wonders,132,2018/03/04 10:35:00,2025-10-12 20:49:21,107,False
dp4,Great Encounters,106,2018/03/04 10:35:00,2025-10-12 20:49:21,45,False
pop7,POP Series 7,17,2018/03/04 10:35:00,2025-10-12 20:49:21,15,False
dp5,Majestic Dawn,100,2018/03/04 10:35:00,2025-10-12 20:49:21,45,False
dp6,Legends Awakened,146,2018/03/04 10:35:00,2025-10-12 20:49:21,35,False
pop8,POP Series 8,17,2018/03/04 10:35:00,2025-10-12 20:49:21,0,False
dp7,Stormfront,100,2020/05/01 16:06:00,2025-10-12 20:49:21,0,False
pl1,Platinum,127,2020/08/14 09:35:00,2025-10-12 20:49:21,2,False
pop9,POP Series 9,17,2020/05/01 16:06:00,2025-10-12 20:49:21,0,False
pl2,Rising Rivals,111,2020/08/14 09:35:00,2025-10-12 20:49:21,0,False
pl3,Supreme Victors,147,2018/03/07 22:40:00,2025-10-12 20:49:21,2,False
pl4,Arceus,99,2021/07/15 11:30:00,2025-10-12 20:49:21,0,False
ru1,Pokémon Rumble,16,2019/01/28 16:44:00,2025-10-12 20:49:21,0,False
hgss1,HeartGold & SoulSilver,123,2018/03/04 10:35:00,2025-10-12 20:49:21,0,False
hsp,HGSS Black Star Promos,25,2019/01/28 16:44:00,2025-10-12 20:49:21,0,False
hgss2,HS—Unleashed,95,2018/03/04 10:35:00,2025-10-12 20:49:21,0,False
hgss3,HS—Undaunted,90,2018/03/04 10:35:00,2025-10-12 20:49:21,64,False
hgss4,HS—Triumphant,102,2018/03/04 10:35:00,2025-10-12 20:49:21,102,False
col1,Call of Legends,95,2018/03/04 10:35:00,2025-10-12 20:49:21,68,False
bwp,BW Black Star Promos,101,2020/08/14 09:35:00,2025-10-12 20:49:21,0,False
bw1,Black & White,114,2018/11/29 19:56:00,2025-10-12 20:49:21,100,False
mcd11,McDonald's Collection 2011,12,2022/10/10 15:12:00,2025-10-12 20:49:21,6,False
bw2,Emerging Powers,98,2018/03/04 10:35:00,2025-10-12 20:49:21,86,False
bw3,Noble Victories,101,2018/03/04 10:35:00,2025-10-12 20:49:21,95,False
bw4,Next Destinies,99,2019/01/28 16:44:00,2025-10-12 20:49:21,87,False
bw5,Dark Explorers,108,2018/03/04 10:35:00,2025-10-12 20:49:21,91,False
mcd12,McDonald's Collection 2012,12,2022/10/10 15:12:00,2025-10-12 20:49:21,10,False
bw6,Dragons Exalted,124,2018/03/04 10:35:00,2025-10-12 20:49:21,105,False
dv1,Dragon Vault,20,2019/01/28 16:44:00,2025-10-12 20:49:21,17,False
bw7,Boundaries Crossed,149,2018/03/04 10:35:00,2025-10-12 20:49:21,133,False
bw8,Plasma Storm,135,2020/08/14 09:35:00,2025-10-12 20:49:21,117,False
bw9,Plasma Freeze,116,2018/03/04 10:35:00,2025-10-12 20:49:21,102,False
bw10,Plasma Blast,101,2018/03/04 10:35:00,2025-10-12 20:49:21,94,False
xyp,XY Black Star Promos,211,2020/08/14 09:35:00,2025-10-12 20:49:21,0,False
bw11,Legendary Treasures,113,2018/03/04 10:35:00,2025-10-12 20:49:21,94,False
xy0,Kalos Starter Set,39,2018/03/04 10:35:00,2025-10-12 20:49:21,34,False
xy1,XY,146,2018/03/04 10:35:00,2025-10-12 20:49:21,134,False
xy2,Flashfire,106,2018/03/04 10:35:00,2025-10-12 20:49:21,95,False
xy3,Furious Fists,111,2018/03/04 10:35:00,2025-10-12 20:49:21,101,False
xy4,Phantom Forces,119,2020/08/14 09:35:00,2025-10-12 20:49:21,111,False
xy5,Primal Clash,160,2020/05/01 16:06:00,2025-10-12 20:49:21,143,False
dc1,Double Crisis,34,2019/01/28 16:44:00,2025-10-12 20:49:21,30,False
xy6,Roaring Skies,108,2020/08/14 09:35:00,2025-10-12 20:49:21,98,False
xy7,Ancient Origins,98,2020/08/14 09:35:00,2025-10-12 20:49:21,75,False
xy8,BREAKthrough,162,2019/04/10 19:59:00,2025-10-12 20:49:21,144,False
xy9,BREAKpoint,122,2020/08/14 09:35:00,2025-10-12 20:49:21,112,False
g1,Generations,83,2020/08/14 09:35:00,2025-10-12 20:49:21,76,False
xy10,Fates Collide,124,2018/09/03 11:49:00,2025-10-12 20:49:21,113,False
xy11,Steam Siege,114,2019/04/10 19:59:00,2025-10-12 20:49:21,98,False
mcd16,McDonald's Collection 2016,12,2022/10/10 15:12:00,2025-10-12 20:49:21,10,False
xy12,Evolutions,108,2020/09/25 10:09:00,2025-10-12 20:49:21,94,False
sm1,Sun & Moon,149,2019/04/10 19:59:00,2025-10-12 20:49:21,139,False
smp,SM Black Star Promos,248,2020/05/01 16:06:00,2025-10-12 20:49:21,4,False
sm2,Guardians Rising,145,2022/10/11 21:39:00,2025-10-12 20:49:21,131,False
sm3,Burning Shadows,147,2022/10/11 21:39:00,2025-10-12 20:49:21,137,False
sm35,Shining Legends,73,2022/10/11 21:39:00,2025-10-12 20:49:21,65,False
sm4,Crimson Invasion,111,2022/10/11 21:39:00,2025-10-12 20:49:21,100,False
sm5,Ultra Prism,156,2019/02/19 23:25:00,2025-10-12 20:49:21,134,False
sm6,Forbidden Light,131,2019/02/19 23:25:00,2025-10-12 20:49:21,121,False
sm7,Celestial Storm,168,2022/10/11 21:39:00,2025-10-12 20:49:21,148,False
sm75,Dragon Majesty,70,2018/10/01 21:54:00,2025-10-12 20:49:21,61,False
sm8,Lost Thunder,214,2020/08/14 09:35:00,2025-10-12 20:49:21,189,False
sm9,Team Up,181,2021/09/01 05:37:00,2025-10-12 20:49:21,164,False
det1,Detective Pikachu,18,2021/09/01 05:37:00,2025-10-12 20:49:21,15,False
sm10,Unbroken Bonds,214,2021/09/01 05:37:00,2025-10-12 20:49:21,195,False
sm11,Unified Minds,236,2021/09/01 05:37:00,2025-10-12 20:49:21,219,False
sm115,Hidden Fates,68,2021/09/01 05:37:00,2025-10-12 20:49:21,61,False
sma,Hidden Fates Shiny Vault,94,2021/09/01 05:37:00,2025-10-12 20:49:21,0,False
mcd19,McDonald's Collection 2019,12,2022/10/10 15:12:00,2025-10-12 20:49:21,12,False
sm12,Cosmic Eclipse,236,2021/09/01 05:37:00,2025-10-12 20:49:21,204,False
swshp,SWSH Black Star Promos,307,2022/07/23 20:15:00,2025-10-12 20:49:21,0,False
swsh1,Sword & Shield,202,2020/08/14 09:35:00,2025-10-12 20:49:21,171,False
swsh2,Rebel Clash,192,2020/09/25 10:09:00,2025-10-12 20:49:21,157,False
swsh3,Darkness Ablaze,189,2020/10/25 13:45:00,2025-10-12 20:49:21,167,False
swsh35,Champion's Path,73,2020/10/25 13:45:00,2025-10-12 20:49:21,64,False
swsh4,Vivid Voltage,185,2020/11/13 16:20:00,2025-10-12 20:49:21,155,False
swsh45,Shining Fates,72,2021/02/24 16:17:00,2025-10-12 20:49:21,62,False
swsh45sv,Shining Fates Shiny Vault,122,2021/02/24 16:17:00,2025-10-12 20:49:21,0,False
swsh5,Battle Styles,163,2021/03/19 15:12:00,2025-10-12 20:49:21,126,False
swsh6,Chilling Reign,198,2021/06/18 12:12:00,2025-10-12 20:49:21,168,False
swsh7,Evolving Skies,203,2021/08/27 10:17:00,2025-10-12 20:49:21,175,False
cel25,Celebrations,25,2022/10/11 21:39:00,2025-10-12 20:49:21,23,False
cel25c,Celebrations: Classic Collection,25,2022/10/11 21:39:00,2025-10-12 20:49:21,0,False
mcd14,McDonald's Collection 2014,12,2022/10/10 15:12:00,2025-10-12 20:49:21,0,False
mcd15,McDonald's Collection 2015,12,2022/10/10 15:12:00,2025-10-12 20:49:21,0,False
mcd18,McDonald's Collection 2018,12,2022/10/10 15:12:00,2025-10-12 20:49:21,0,False
mcd17,McDonald's Collection 2017,12,2022/10/10 15:12:00,2025-10-12 20:49:21,0,False
mcd21,McDonald's Collection 2021,25,2022/10/10 15:12:00,2025-10-12 20:49:21,23,False
bp,Best of Game,9,2021/10/16 09:52:00,2025-10-12 20:49:21,8,False
swsh8,Fusion Strike,264,2021/11/12 07:32:00,2025-10-12 20:49:21,230,False
fut20,Pokémon Futsal Collection,5,2022/10/10 15:12:00,2025-10-12 20:49:21,4,False
tk1a,EX Trainer Kit Latias,10,2022/01/13 20:44:00,2025-10-12 20:49:21,9,False
tk1b,EX Trainer Kit Latios,10,2022/01/13 20:44:00,2025-10-12 20:49:21,9,False
tk2a,EX Trainer Kit 2 Plusle,12,2022/01/13 20:44:00,2025-10-12 20:49:21,10,False
tk2b,EX Trainer Kit 2 Minun,12,2022/01/13 20:44:00,2025-10-12 20:49:21,8,False
swsh9,Brilliant Stars,172,2022/02/23 09:45:00,2025-10-12 20:49:21,152,False
swsh9tg,Brilliant Stars Trainer Gallery,30,2022/02/23 09:45:00,2025-10-12 20:49:21,0,False
swsh10,Astral Radiance,189,2022/05/27 09:45:00,2025-10-12 20:49:21,166,False
swsh10tg,Astral Radiance Trainer Gallery,30,2022/05/27 09:45:00,2025-10-12 20:49:21,0,False
pgo,Pokémon GO,78,2022/07/06 17:07:00,2025-10-12 20:49:21,72,False
swsh11,Lost Origin,196,2022/09/09 13:45:00,2025-10-12 20:49:21,174,False
swsh11tg,Lost Origin Trainer Gallery,30,2022/09/09 13:45:00,2025-10-12 20:49:21,0,False
swsh12,Silver Tempest,195,2022/09/09 11:45:00,2025-10-12 20:49:21,170,False
swsh12tg,Silver Tempest Trainer Gallery,30,2022/11/11 11:45:00,2025-10-12 20:49:21,0,False
mcd22,McDonald's Collection 2022,15,2022/10/09 13:21:00,2025-10-12 20:49:21,10,False
swsh12pt5,Crown Zenith,159,2023/01/19 15:45:00,2025-10-12 20:49:21,139,False
swsh12pt5gg,Crown Zenith Galarian Gallery,70,2023/01/19 15:45:00,2025-10-12 20:49:21,0,False
sv1,Scarlet & Violet,198,2023/03/31 15:45:00,2025-10-12 20:49:21,178,False
svp,Scarlet & Violet Black Star Promos,215,2024/11/07 22:00:00,2025-10-12 20:49:21,175,False
sv2,Paldea Evolved,193,2023/06/09 15:00:00,2025-10-12 20:49:21,161,False
sve,Scarlet & Violet Energies,8,2023/07/20 15:45:00,2025-10-12 20:49:21,8,False
sv3,Obsidian Flames,197,2023/08/11 15:00:00,2025-10-12 20:49:21,169,False
sv3pt5,151,165,2023/09/22 15:00:00,2025-10-12 20:49:21,139,False
sv4,Paradox Rift,182,2023/11/03 15:00:00,2025-10-12 20:49:21,160,False
sv4pt5,Paldean Fates,91,2024/01/25 15:00:00,2025-10-12 20:49:21,81,False
sv5,Temporal Forces,162,2024/03/22 15:00:00,2025-10-12 20:49:21,142,False
sv6,Twilight Masquerade,167,2024/05/24 15:00:00,2025-10-12 20:49:21,141,False
sv6pt5,Shrouded Fable,64,2024/08/02 15:00:00,2025-10-12 20:49:21,54,False
sv7,Stellar Crown,142,2024/08/02 15:00:00,2025-10-12 20:49:21,130,False
sv8,Surging Sparks,191,2024/11/07 22:00:00,2025-10-12 20:49:21,168,False
sv8pt5,Prismatic Evolutions,131,2025/01/16 22:00:00,2025-10-12 20:49:21,123,False
sv9,Journey Together,159,2025/03/27 16:00:00,2025-10-12 20:49:21,144,False
sv10,Destined Rivals,182,2025/05/29 22:00:00,2025-10-12 20:49:21,164,False
zsv10pt5,Black Bolt,86,2025/07/17 15:00:00,2025-10-12 20:49:21,81,False
rsv10pt5,White Flare,86,2025/07/17 15:00:00,2025-10-12 20:49:21,81,False
me1,Mega Evolution,132,2025/09/25 15:00:00,2025-10-12 20:49:21,124,False

